gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges
Female;No;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;29.85;29.85
Male;No;No;No;34;Yes;No;DSL;Yes;No;Yes;No;No;No;One year;No;Mailed check;56.95;1889.5
Male;No;No;No;2;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;53.85;108.15
Male;No;No;No;45;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;One year;No;Bank transfer (automatic);42.3;1840.75
Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70.7;151.65
Female;No;No;No;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99.65;820.5
Male;No;No;Yes;22;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);89.1;1949.4
Female;No;No;No;10;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;29.75;301.9
Female;No;Yes;No;28;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104.8;3046.05
Male;No;No;Yes;62;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Bank transfer (automatic);56.15;3487.95
Male;No;Yes;Yes;13;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;49.95;587.45
Male;No;No;No;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);18.95;326.8
Male;No;Yes;No;58;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Credit card (automatic);100.35;5681.1
Male;No;No;No;49;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103.7;5036.3
Male;No;No;No;25;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;105.5;2686.05
Female;No;Yes;Yes;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);113.25;7895.15
Female;No;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20.65;1022.95
Male;No;No;Yes;71;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Two year;No;Bank transfer (automatic);106.7;7382.25
Female;No;Yes;Yes;10;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);55.2;528.35
Female;No;No;No;21;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;90.05;1862.9
Male;Yes;No;No;1;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;39.65;39.65
Male;No;Yes;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19.8;202.25
Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.15;20.15
Female;No;Yes;No;58;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Two year;Yes;Credit card (automatic);59.9;3505.1
Male;No;Yes;Yes;49;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Credit card (automatic);59.6;2970.3
Female;No;No;No;30;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);55.3;1530.6
Male;No;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;99.35;4749.15
Male;No;Yes;Yes;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;30.2;30.2
Male;No;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);90.25;6369.45
Female;No;No;Yes;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;64.7;1093.1
Female;Yes;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);96.35;6766.95
Male;Yes;Yes;No;2;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);95.5;181.65
Female;No;Yes;Yes;27;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;One year;No;Mailed check;66.15;1874.45
Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);20.2;20.2
Male;Yes;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);45.25;45.25
Female;No;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;No;Bank transfer (automatic);99.9;7251.7
Male;No;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69.7;316.9
Female;No;No;No;46;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);74.8;3548.3
Male;No;No;No;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;106.35;3549.25
Female;No;No;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);97.85;1105.4
Male;No;Yes;Yes;10;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Mailed check;49.55;475.7
Female;No;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Two year;Yes;Credit card (automatic);69.2;4872.35
